exported_fun,type,argument,default_or_fixed,object,expected_object,fun_prefix,expected_type
stat_density_2d,position,"""identity""",default,PositionIdentity,StatDensity2d,stat_,stat
stat_density_2d,stat,StatDensity2d,fixed,StatDensity2d,StatDensity2d,stat_,stat
stat_density_2d_filled,geom,"""density_2d_filled""",default,GeomDensity2dFilled,StatDensity2dFilled,stat_,stat
stat_density_2d_filled,position,"""identity""",default,PositionIdentity,StatDensity2dFilled,stat_,stat
stat_density_2d_filled,stat,StatDensity2dFilled,fixed,StatDensity2dFilled,StatDensity2dFilled,stat_,stat
stat_ecdf,geom,"""step""",default,GeomStep,StatEcdf,stat_,stat
stat_ecdf,position,"""identity""",default,PositionIdentity,StatEcdf,stat_,stat
stat_ecdf,stat,StatEcdf,fixed,StatEcdf,StatEcdf,stat_,stat
stat_ellipse,geom,"""path""",default,GeomPath,StatEllipse,stat_,stat
stat_ellipse,position,"""identity""",default,PositionIdentity,StatEllipse,stat_,stat
stat_ellipse,stat,StatEllipse,fixed,StatEllipse,StatEllipse,stat_,stat
stat_function,geom,"""function""",default,GeomFunction,StatFunction,stat_,stat
stat_function,position,"""identity""",default,PositionIdentity,StatFunction,stat_,stat
stat_function,stat,StatFunction,fixed,StatFunction,StatFunction,stat_,stat
stat_identity,geom,"""point""",default,GeomPoint,StatIdentity,stat_,stat
stat_identity,position,"""identity""",default,PositionIdentity,StatIdentity,stat_,stat
stat_identity,stat,StatIdentity,fixed,StatIdentity,StatIdentity,stat_,stat
stat_qq,geom,"""point""",default,GeomPoint,StatQq,stat_,stat
stat_qq,position,"""identity""",default,PositionIdentity,StatQq,stat_,stat
stat_qq,stat,StatQq,fixed,StatQq,StatQq,stat_,stat
stat_qq_line,geom,"""path""",default,GeomPath,StatQqLine,stat_,stat
stat_qq_line,position,"""identity""",default,PositionIdentity,StatQqLine,stat_,stat
stat_qq_line,stat,StatQqLine,fixed,StatQqLine,StatQqLine,stat_,stat
stat_quantile,geom,"""quantile""",default,GeomQuantile,StatQuantile,stat_,stat
stat_quantile,position,"""identity""",default,PositionIdentity,StatQuantile,stat_,stat
