user,repo,fun_exported
thomasp85,ggraph,scale_edge_fill_manual
thomasp85,ggraph,scale_edge_fill_steps
thomasp85,ggraph,scale_edge_fill_steps2
thomasp85,ggraph,scale_edge_fill_stepsn
thomasp85,ggraph,scale_edge_fill_viridis
thomasp85,ggraph,scale_edge_linetype
thomasp85,ggraph,scale_edge_linetype_binned
thomasp85,ggraph,scale_edge_linetype_continuous
thomasp85,ggraph,scale_edge_linetype_discrete
thomasp85,ggraph,scale_edge_linetype_identity
thomasp85,ggraph,scale_edge_linetype_manual
thomasp85,ggraph,scale_edge_radius
thomasp85,ggraph,scale_edge_shape
thomasp85,ggraph,scale_edge_shape_binned
thomasp85,ggraph,scale_edge_shape_continuous
thomasp85,ggraph,scale_edge_shape_discrete
thomasp85,ggraph,scale_edge_shape_identity
thomasp85,ggraph,scale_edge_shape_manual
thomasp85,ggraph,scale_edge_size
thomasp85,ggraph,scale_edge_size_area
thomasp85,ggraph,scale_edge_size_binned
thomasp85,ggraph,scale_edge_size_binned_area
thomasp85,ggraph,scale_edge_size_continuous
thomasp85,ggraph,scale_edge_size_discrete
thomasp85,ggraph,scale_edge_size_identity
thomasp85,ggraph,scale_edge_size_manual
thomasp85,ggraph,scale_edge_width
thomasp85,ggraph,scale_edge_width_binned
thomasp85,ggraph,scale_edge_width_continuous
thomasp85,ggraph,scale_edge_width_discrete
thomasp85,ggraph,scale_edge_width_identity
thomasp85,ggraph,scale_edge_width_manual
thomasp85,ggraph,scale_fill_viridis
thomasp85,ggraph,scale_label_size
thomasp85,ggraph,scale_label_size_binned
thomasp85,ggraph,scale_label_size_continuous
thomasp85,ggraph,scale_label_size_discrete
thomasp85,ggraph,scale_label_size_identity
thomasp85,ggraph,scale_label_size_manual
thomasp85,ggraph,set_graph_style
thomasp85,ggraph,square
thomasp85,ggraph,th_foreground
thomasp85,ggraph,th_no_axes
thomasp85,ggraph,theme_graph
thomasp85,ggraph,unset_graph_style
aphalo,ggpp,GeomGrob
aphalo,ggpp,GeomGrobNpc
aphalo,ggpp,GeomLabelNpc
aphalo,ggpp,GeomLinkedText
aphalo,ggpp,GeomPlot
aphalo,ggpp,GeomPlotNpc
aphalo,ggpp,GeomQuadrantLines
aphalo,ggpp,GeomTable
aphalo,ggpp,GeomTableNpc
aphalo,ggpp,GeomTextNpc
aphalo,ggpp,GeomVHLines
aphalo,ggpp,GeomXMarginArrow
aphalo,ggpp,GeomXMarginGrob
aphalo,ggpp,GeomXMarginPoint
aphalo,ggpp,GeomYMarginArrow
aphalo,ggpp,GeomYMarginGrob
aphalo,ggpp,GeomYMarginPoint
